#hypernode	nodes
http://pathwaycommons.org/pc12/Complex_1a1a432db3d8cb25df223f61daffe3d2	http://pathwaycommons.org/pc12/Protein_56610390a058781e82212465063f0ac4;http://pathwaycommons.org/pc12/Protein_212d9c9fffaab114ab7897f2c19dbf2a;http://pathwaycommons.org/pc12/Protein_6e5d794abd6197715e3ccdb0d473aa31;http://pathwaycommons.org/pc12/Protein_8f1e8eb7f8a94620f8fe7ee2c7c4093f;http://pathwaycommons.org/pc12/Protein_828197366cc5f4b6c2d033406cf85936;http://pathwaycommons.org/pc12/Protein_d580d04c35aeccac46b37594ed202737
http://pathwaycommons.org/pc12/Complex_46f99a13ca1b39c8d93926b9b394c395	http://pathwaycommons.org/pc12/Protein_d710e2481dc0d1c8244629fef5c9ea18;http://pathwaycommons.org/pc12/Protein_8f1e8eb7f8a94620f8fe7ee2c7c4093f;http://pathwaycommons.org/pc12/Protein_ba2dd7da27dd38aaff1f99204b6d6a80;http://pathwaycommons.org/pc12/Protein_212d9c9fffaab114ab7897f2c19dbf2a
http://pathwaycommons.org/pc12/Complex_24d4fbcac713f7b130c34cdf3e7ceb98	http://pathwaycommons.org/pc12/Protein_f7ba0ffc812b30fb94ba90a355a040f6;http://pathwaycommons.org/pc12/Protein_98a8c4044778cd8ec66d81eb7956977e;http://pathwaycommons.org/pc12/Protein_56610390a058781e82212465063f0ac4;http://pathwaycommons.org/pc12/Protein_828197366cc5f4b6c2d033406cf85936;http://pathwaycommons.org/pc12/Protein_212d9c9fffaab114ab7897f2c19dbf2a
http://pathwaycommons.org/pc12/Complex_5dc6eb1d94c9ed38b4e87dd1b631dc9d	http://pathwaycommons.org/pc12/Protein_56610390a058781e82212465063f0ac4;http://pathwaycommons.org/pc12/Protein_828197366cc5f4b6c2d033406cf85936;http://pathwaycommons.org/pc12/Protein_f6826d0637e77969abed009cd6d8aa9b
http://pathwaycommons.org/pc12/Complex_bccc1ef99c2f424c65c0dd09c602b54a	http://pathwaycommons.org/pc12/Protein_f6826d0637e77969abed009cd6d8aa9b;http://pathwaycommons.org/pc12/Protein_56610390a058781e82212465063f0ac4;http://pathwaycommons.org/pc12/Protein_828197366cc5f4b6c2d033406cf85936;http://pathwaycommons.org/pc12/Protein_d580d04c35aeccac46b37594ed202737
http://pathwaycommons.org/pc12/Complex_bcadede923b5104707042fdcf59c3fd0	http://pathwaycommons.org/pc12/Protein_56610390a058781e82212465063f0ac4;http://pathwaycommons.org/pc12/Protein_212d9c9fffaab114ab7897f2c19dbf2a;http://pathwaycommons.org/pc12/Protein_ae70ab0efaf08e49041f58d70f4473e9;http://pathwaycommons.org/pc12/Protein_8f1e8eb7f8a94620f8fe7ee2c7c4093f;http://pathwaycommons.org/pc12/Protein_828197366cc5f4b6c2d033406cf85936;http://pathwaycommons.org/pc12/Protein_d580d04c35aeccac46b37594ed202737
http://pathwaycommons.org/pc12/Complex_98b82ff1a1a34ef16004eaefa8d5a101	http://pathwaycommons.org/pc12/Protein_56610390a058781e82212465063f0ac4;http://pathwaycommons.org/pc12/Protein_212d9c9fffaab114ab7897f2c19dbf2a;http://pathwaycommons.org/pc12/Protein_cd0c29b866af444d29115f0cc1622e1a;http://pathwaycommons.org/pc12/Protein_8f1e8eb7f8a94620f8fe7ee2c7c4093f;http://pathwaycommons.org/pc12/Protein_828197366cc5f4b6c2d033406cf85936;http://pathwaycommons.org/pc12/Protein_d580d04c35aeccac46b37594ed202737
http://pathwaycommons.org/pc12/Complex_009df102b30f1d289922ad46f21820fb	http://pathwaycommons.org/pc12/Protein_56610390a058781e82212465063f0ac4;http://pathwaycommons.org/pc12/Protein_828197366cc5f4b6c2d033406cf85936;http://pathwaycommons.org/pc12/Protein_f6826d0637e77969abed009cd6d8aa9b
http://pathwaycommons.org/pc12/Complex_97b347f1df5c5f24a935e2f97daf55b6	http://pathwaycommons.org/pc12/Protein_56610390a058781e82212465063f0ac4;http://pathwaycommons.org/pc12/Protein_98a8c4044778cd8ec66d81eb7956977e;http://pathwaycommons.org/pc12/Protein_212d9c9fffaab114ab7897f2c19dbf2a;http://pathwaycommons.org/pc12/Protein_ae70ab0efaf08e49041f58d70f4473e9;http://pathwaycommons.org/pc12/Protein_828197366cc5f4b6c2d033406cf85936;http://pathwaycommons.org/pc12/Protein_d580d04c35aeccac46b37594ed202737
http://pathwaycommons.org/pc12/Complex_6a76abcaa044bb3911df9e2e06246f00	http://pathwaycommons.org/pc12/Protein_f7ba0ffc812b30fb94ba90a355a040f6;http://pathwaycommons.org/pc12/Protein_56610390a058781e82212465063f0ac4;http://pathwaycommons.org/pc12/Protein_828197366cc5f4b6c2d033406cf85936
